date,rain_mm,number,expver,temp_c,spatial_ref,spei
1988-07-01,174.1585,0,0001,25.165955,0,-0.11815868
1988-08-01,192.71915,0,0001,24.809296,0,0.21257044
1988-09-01,167.65367,0,0001,25.334991,0,0.3432789
1988-10-01,58.461235,0,0001,26.904053,0,-0.039015178
1988-11-01,14.6642275,0,0001,27.337158,0,0.033615425
1988-12-01,8.88434,0,0001,26.010742,0,0.09042798
1989-01-01,2.089166,0,0001,26.06311,0,0.06418733
1989-02-01,4.321951,0,0001,28.265198,0,0.07388719
1989-03-01,50.311245,0,0001,28.963013,0,0.15487354
1989-04-01,55.948704,0,0001,29.603455,0,-0.17951521
1989-05-01,67.97018,0,0001,28.760895,0,-0.2163256
1989-06-01,174.13374,0,0001,26.616272,0,-0.22816622
1989-07-01,173.18721,0,0001,25.255005,0,-0.28688854
1989-08-01,240.79036,0,0001,24.762604,0,-0.14809251
1989-09-01,175.3507,0,0001,25.28772,0,-0.19879526
1989-10-01,84.37609,0,0001,26.067413,0,0.12082009
1989-11-01,10.311652,0,0001,27.468384,0,0.0495401
1989-12-01,7.7230735,0,0001,26.50116,0,0.031604726
1990-01-01,4.2991624,0,0001,27.058014,0,0.057143554
1990-02-01,12.433261,0,0001,28.213501,0,0.18833227
1990-03-01,11.986016,0,0001,30.237488,0,-0.15972704
1990-04-01,67.05796,0,0001,29.622467,0,-0.0026450001
1990-05-01,88.361664,0,0001,28.263824,0,0.30768096
1990-06-01,118.59537,0,0001,26.953003,0,0.093206465
1990-07-01,159.003,0,0001,25.123413,0,0.017975256
1990-08-01,141.56206,0,0001,25.035553,0,-1.0023768
1990-09-01,129.11093,0,0001,25.397614,0,-1.2960279
1990-10-01,61.188362,0,0001,26.88565,0,-1.5524352
1990-11-01,26.366451,0,0001,27.665619,0,-1.34387
1990-12-01,24.1331,0,0001,26.976074,0,-1.2275149
1991-01-01,6.010997,0,0001,27.28595,0,-1.2846488
1991-02-01,20.233225,0,0001,29.270538,0,-1.2789958
1991-03-01,41.06761,0,0001,29.406494,0,-0.9209301
1991-04-01,81.17835,0,0001,28.823212,0,-0.774604
1991-05-01,162.9902,0,0001,27.1109,0,0.044574168
1991-06-01,123.1816,0,0001,26.947906,0,0.16112477
1991-07-01,177.20642,0,0001,25.326263,0,0.44321936
1991-08-01,200.26297,0,0001,24.763062,0,1.1581339
1991-09-01,103.78305,0,0001,25.790405,0,0.99456584
1991-10-01,89.67928,0,0001,25.733124,0,1.3921174
1991-11-01,12.642608,0,0001,26.85434,0,1.3679035
1991-12-01,4.4050503,0,0001,26.138641,0,1.2649057
1992-01-01,2.016632,0,0001,26.153992,0,1.3081086
1992-02-01,6.7422137,0,0001,28.89087,0,1.2062622
1992-03-01,21.212803,0,0001,30.058014,0,1.0983789
1992-04-01,65.90804,0,0001,29.545593,0,1.0011358
1992-05-01,111.778946,0,0001,27.932678,0,0.56405944
1992-06-01,115.616905,0,0001,26.284332,0,0.49507385
1992-07-01,144.30179,0,0001,24.83139,0,0.13538879
1992-08-01,144.10744,0,0001,24.677582,0,-0.35557675
1992-09-01,135.22636,0,0001,25.182251,0,-0.090292744
1992-10-01,66.518364,0,0001,26.504639,0,-0.50668716
1992-11-01,26.303808,0,0001,26.156677,0,-0.4596149
1992-12-01,6.476038,0,0001,26.556183,0,-0.50019395
1993-01-01,2.1926706,0,0001,25.867249,0,-0.5113676
1993-02-01,12.551939,0,0001,28.79663,0,-0.47954345
1993-03-01,46.75886,0,0001,29.14447,0,-0.4000622
1993-04-01,62.274982,0,0001,29.746124,0,-0.4761753
1993-05-01,76.53198,0,0001,28.944244,0,-0.89748555
1993-06-01,128.3205,0,0001,26.969788,0,-0.8596682
1993-07-01,146.02728,0,0001,25.373413,0,-0.88974655
1993-08-01,176.03802,0,0001,25.159607,0,-0.84862614
1993-09-01,151.50189,0,0001,25.452637,0,-0.77907455
1993-10-01,75.03901,0,0001,26.80362,0,-0.73340875
1993-11-01,24.845991,0,0001,27.796692,0,-0.678153
1993-12-01,8.457635,0,0001,26.64093,0,-0.6442464
1994-01-01,5.136609,0,0001,26.745178,0,-0.6273446
1994-02-01,7.612528,0,0001,28.891602,0,-0.6548866
1994-03-01,34.70101,0,0001,30.025269,0,-0.58244336
1994-04-01,62.11903,0,0001,29.72818,0,-0.61505187
1994-05-01,104.03162,0,0001,28.2742,0,-0.3335372
1994-06-01,119.25593,0,0001,26.644775,0,-0.34887975
1994-07-01,145.07867,0,0001,25.530975,0,-0.26140237
1994-08-01,208.60225,0,0001,25.103363,0,0.20566073
1994-09-01,173.21379,0,0001,25.457092,0,0.5243224
1994-10-01,140.92851,0,0001,25.887146,0,1.0913483
1994-11-01,18.728954,0,0001,26.641815,0,0.89482594
1994-12-01,3.383533,0,0001,26.132416,0,0.8486548
1995-01-01,2.1259587,0,0001,26.317444,0,0.80814964
1995-02-01,5.7715664,0,0001,28.377258,0,0.8259762
1995-03-01,47.056564,0,0001,29.946198,0,0.7569311
1995-04-01,80.21012,0,0001,29.485199,0,0.990359
1995-05-01,102.69325,0,0001,28.473572,0,0.97461295
1995-06-01,130.78967,0,0001,27.156952,0,0.97576183
1995-07-01,155.21289,0,0001,25.690002,0,0.906507
1995-08-01,221.48624,0,0001,25.085938,0,0.89257646
1995-09-01,136.11903,0,0001,25.526672,0,0.39237598
1995-10-01,79.263626,0,0001,26.26181,0,-0.15445243
1995-11-01,16.479513,0,0001,26.591125,0,-0.07333905
1995-12-01,11.8067,0,0001,26.784454,0,-0.047950543
1996-01-01,4.58351,0,0001,27.390991,0,-0.123475246
1996-02-01,20.032383,0,0001,28.901672,0,-0.10995445
1996-03-01,35.226776,0,0001,29.760803,0,-0.17077826
1996-04-01,69.05517,0,0001,29.11206,0,-0.26837072
1996-05-01,106.1496,0,0001,28.553741,0,-0.21071222
1996-06-01,141.34447,0,0001,26.510803,0,-0.091023035
1996-07-01,137.95241,0,0001,25.644653,0,-0.12822472
1996-08-01,205.07156,0,0001,24.923798,0,-0.25898188
1996-09-01,136.1911,0,0001,25.100952,0,-0.055323236
1996-10-01,75.40543,0,0001,26.10791,0,-0.043357614
1996-11-01,8.698506,0,0001,26.473572,0,-0.14649707
1996-12-01,7.422646,0,0001,26.652832,0,-0.19290684
1997-01-01,4.566608,0,0001,27.57666,0,-0.15439108
1997-02-01,4.1855655,0,0001,28.116272,0,-0.22693588
1997-03-01,37.210487,0,0001,29.376556,0,-0.08435164
1997-04-01,77.75665,0,0001,28.713135,0,-0.06229391
1997-05-01,105.23022,0,0001,27.812103,0,-0.05770314
1997-06-01,171.48718,0,0001,26.369629,0,0.119238086
1997-07-01,122.32773,0,0001,25.586609,0,-0.08929552
1997-08-01,125.59319,0,0001,25.44104,0,-0.7975591
1997-09-01,137.47125,0,0001,26.210571,0,-0.9756811
1997-10-01,101.396866,0,0001,27.14917,0,-0.8582246
1997-11-01,21.982231,0,0001,27.693085,0,-0.77417034
1997-12-01,9.349303,0,0001,27.066864,0,-0.74621016
1998-01-01,5.010964,0,0001,27.430756,0,-0.71154886
1998-02-01,7.0270643,0,0001,30.062683,0,-0.69577336
1998-03-01,13.438099,0,0001,31.013214,0,-0.95026976
1998-04-01,80.406586,0,0001,31.008362,0,-1.0567802
1998-05-01,97.02439,0,0001,29.337769,0,-1.0674044
1998-06-01,134.81773,0,0001,27.174408,0,-1.3060427
1998-07-01,140.5744,0,0001,26.006927,0,-1.1874232
1998-08-01,170.98198,0,0001,25.212585,0,-0.6751201
1998-09-01,161.49557,0,0001,25.570984,0,-0.17849338
1998-10-01,84.8854,0,0001,26.581757,0,-0.26422212
1998-11-01,14.954284,0,0001,27.604126,0,-0.29052186
1998-12-01,8.888945,0,0001,27.018402,0,-0.30619174
1999-01-01,6.655537,0,0001,27.474915,0,-0.28225276
1999-02-01,17.397478,0,0001,28.263428,0,-0.18077332
1999-03-01,37.38492,0,0001,30.188263,0,-0.068863496
1999-04-01,77.87067,0,0001,29.277832,0,-0.013121976
1999-05-01,88.367836,0,0001,28.151031,0,-0.23944691
1999-06-01,128.31956,0,0001,27.105408,0,-0.5089611
1999-07-01,227.77345,0,0001,25.308258,0,0.038331173
1999-08-01,214.23607,0,0001,24.657776,0,0.3931821
1999-09-01,188.72305,0,0001,24.770721,0,0.36016962
1999-10-01,91.23353,0,0001,25.64853,0,0.5043344
1999-11-01,20.63816,0,0001,26.835083,0,0.61849487
1999-12-01,4.761687,0,0001,26.075836,0,0.5856488
2000-01-01,6.7987404,0,0001,27.483734,0,0.5697763
2000-02-01,5.112962,0,0001,27.392944,0,0.4494496
2000-03-01,29.409092,0,0001,29.974274,0,0.46711266
2000-04-01,63.633728,0,0001,30.261993,0,0.31507936
2000-05-01,97.11833,0,0001,28.762634,0,0.3591788
2000-06-01,148.79051,0,0001,26.56189,0,0.56614083
2000-07-01,146.37358,0,0001,25.54364,0,0.22371791
2000-08-01,160.73943,0,0001,25.019379,0,-0.33058518
2000-09-01,127.639946,0,0001,25.566284,0,-0.7269813
2000-10-01,72.46552,0,0001,26.432404,0,-0.9286792
2000-11-01,12.809944,0,0001,27.448822,0,-1.0710303
2000-12-01,5.703,0,0001,26.496246,0,-1.0859928
2001-01-01,2.7135544,0,0001,26.769592,0,-1.1596316
2001-02-01,5.792485,0,0001,28.404724,0,-1.1675923
2001-03-01,31.292463,0,0001,30.225677,0,-1.316284
2001-04-01,69.30592,0,0001,29.8096,0,-1.2201751
2001-05-01,109.30297,0,0001,28.800903,0,-1.1806352
2001-06-01,135.15657,0,0001,26.735138,0,-1.1636186
2001-07-01,142.60645,0,0001,25.572021,0,-1.294764
2001-08-01,138.45758,0,0001,25.114105,0,-1.2102597
2001-09-01,144.63667,0,0001,25.338226,0,-1.085109
2001-10-01,40.80025,0,0001,27.138458,0,-1.2710147
2001-11-01,17.629261,0,0001,27.556274,0,-1.24046
2001-12-01,5.6174345,0,0001,27.6828,0,-1.2781483
2002-01-01,5.0514846,0,0001,26.933838,0,-1.2030472
2002-02-01,6.286052,0,0001,28.933807,0,-1.225562
2002-03-01,30.848728,0,0001,30.588043,0,-1.1245732
2002-04-01,78.319405,0,0001,29.95633,0,-1.1704643
2002-05-01,95.76074,0,0001,29.129364,0,-1.223298
2002-06-01,139.64113,0,0001,27.02716,0,-1.283257
2002-07-01,164.68925,0,0001,26.06186,0,-1.2038413
2002-08-01,163.20193,0,0001,25.170868,0,-1.4034895
2002-09-01,119.69276,0,0001,25.606354,0,-1.550053
2002-10-01,105.78632,0,0001,26.058197,0,-1.0459787
2002-11-01,22.188969,0,0001,27.2695,0,-1.0468084
2002-12-01,5.506476,0,0001,26.602264,0,-1.0604781
2003-01-01,4.6156826,0,0001,27.470398,0,-1.0891777
2003-02-01,16.782488,0,0001,29.694916,0,-1.0390351
2003-03-01,26.29983,0,0001,30.10086,0,-1.0655538
2003-04-01,78.63474,0,0001,29.540558,0,-1.0422212
2003-05-01,86.98172,0,0001,29.145538,0,-0.9815012
2003-06-01,163.9255,0,0001,26.367859,0,-0.61359966
2003-07-01,145.62593,0,0001,25.637878,0,-0.5992841
2003-08-01,199.25165,0,0001,25.350891,0,0.020181691
2003-09-01,181.38615,0,0001,25.651276,0,0.47434694
2003-10-01,90.89099,0,0001,27.132935,0,0.27237505
2003-11-01,32.275448,0,0001,27.470428,0,0.41784856
2003-12-01,8.726108,0,0001,26.582825,0,0.46791294
2004-01-01,7.084337,0,0001,27.313965,0,0.5084295
2004-02-01,14.888055,0,0001,28.87854,0,0.59674776
2004-03-01,27.72081,0,0001,29.784393,0,0.6576116
2004-04-01,73.3257,0,0001,29.542511,0,0.70432234
2004-05-01,85.96535,0,0001,28.203705,0,0.7101684
2004-06-01,104.84561,0,0001,26.82254,0,0.19410233
2004-07-01,173.58287,0,0001,25.360413,0,0.28293136
2004-08-01,159.39081,0,0001,25.302307,0,-0.18522567
2004-09-01,143.6606,0,0001,25.794891,0,-0.4606755
